path,size_bytes,separator,status,rows,error
SCADA/2019_03/Export_2019-03-26 02-08-49.690_[2019-03-25 00-00-00.000]_[2019-03-26 00-00-00.000].csv,59642990,;,processed,1542594,
SCADA/2019_03/Export_2019-03-27 02-08-50.774_[2019-03-26 00-00-00.000]_[2019-03-27 00-00-00.000].csv,71520116,;,processed,1846760,
SCADA/2019_03/Export_2019-03-28 02-08-51.843_[2019-03-27 00-00-00.000]_[2019-03-28 00-00-00.000].csv,64393154,;,processed,1657448,
SCADA/2019_03/Export_2019-03-29 02-08-52.880_[2019-03-28 00-00-00.000]_[2019-03-29 00-00-00.000].csv,59143637,;,processed,1520729,
SCADA/2019_03/Export_2019-03-30 02-08-53.933_[2019-03-29 00-00-00.000]_[2019-03-30 00-00-00.000].csv,59273183,;,processed,1522532,
SCADA/2019_03/Export_2019-03-31 03-08-55.080_[2019-03-30 00-00-00.000]_[2019-03-31 00-00-00.000].csv,20768288,;,processed,534230,
SCADA/2019_03/Export_2019-04-01 02-08-56.240_[2019-03-31 00-00-00.000]_[2019-04-01 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_04/Export_2019-04-02 02-08-57.387_[2019-04-01 00-00-00.000]_[2019-04-02 00-00-00.000].csv,55426108,;,processed,1424536,
SCADA/2019_04/Export_2019-04-03 02-08-58.471_[2019-04-02 00-00-00.000]_[2019-04-03 00-00-00.000].csv,53871800,;,processed,1383327,
SCADA/2019_04/Export_2019-04-04 02-08-59.555_[2019-04-03 00-00-00.000]_[2019-04-04 00-00-00.000].csv,55491007,;,processed,1425014,
SCADA/2019_04/Export_2019-04-05 02-09-00.952_[2019-04-04 00-00-00.000]_[2019-04-05 00-00-00.000].csv,53018187,;,processed,1367453,
SCADA/2019_04/Export_2019-04-06 02-09-02.130_[2019-04-05 00-00-00.000]_[2019-04-06 00-00-00.000].csv,67729263,;,processed,1747311,
SCADA/2019_04/Export_2019-04-07 02-09-03.167_[2019-04-06 00-00-00.000]_[2019-04-07 00-00-00.000].csv,21423198,;,processed,550938,
SCADA/2019_04/Export_2019-04-08 02-09-04.189_[2019-04-07 00-00-00.000]_[2019-04-08 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_04/Export_2019-04-09 02-09-05.351_[2019-04-08 00-00-00.000]_[2019-04-09 00-00-00.000].csv,53198236,;,processed,1366945,
SCADA/2019_04/Export_2019-04-10 02-09-06.326_[2019-04-09 00-00-00.000]_[2019-04-10 00-00-00.000].csv,51628035,;,processed,1326368,
SCADA/2019_04/Export_2019-04-11 02-09-07.535_[2019-04-10 00-00-00.000]_[2019-04-11 00-00-00.000].csv,52855124,;,processed,1358344,
SCADA/2019_04/Export_2019-04-12 02-09-08.697_[2019-04-11 00-00-00.000]_[2019-04-12 00-00-00.000].csv,51607122,;,processed,1327559,
SCADA/2019_04/Export_2019-04-13 02-09-09.610_[2019-04-12 00-00-00.000]_[2019-04-13 00-00-00.000].csv,50554506,;,processed,1298538,
SCADA/2019_04/Export_2019-04-14 02-09-10.663_[2019-04-13 00-00-00.000]_[2019-04-14 00-00-00.000].csv,1040148,;,processed,26722,
SCADA/2019_04/Export_2019-04-15 02-09-11.794_[2019-04-14 00-00-00.000]_[2019-04-15 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_04/Export_2019-04-16 02-09-12.831_[2019-04-15 00-00-00.000]_[2019-04-16 00-00-00.000].csv,52550738,;,processed,1350418,
SCADA/2019_04/Export_2019-04-17 02-09-14.009_[2019-04-16 00-00-00.000]_[2019-04-17 00-00-00.000].csv,50816342,;,processed,1306064,
SCADA/2019_04/Export_2019-04-18 02-09-15.156_[2019-04-17 00-00-00.000]_[2019-04-18 00-00-00.000].csv,57817983,;,processed,1488472,
SCADA/2019_04/Export_2019-04-19 02-09-16.256_[2019-04-18 00-00-00.000]_[2019-04-19 00-00-00.000].csv,51240566,;,processed,1316483,
SCADA/2019_04/Export_2019-04-20 02-09-17.387_[2019-04-19 00-00-00.000]_[2019-04-20 00-00-00.000].csv,52458635,;,processed,1347859,
SCADA/2019_04/Export_2019-04-21 02-09-18.486_[2019-04-20 00-00-00.000]_[2019-04-21 00-00-00.000].csv,747278,;,processed,19300,
SCADA/2019_04/Export_2019-04-22 02-09-19.524_[2019-04-21 00-00-00.000]_[2019-04-22 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_04/Export_2019-04-23 02-09-20.561_[2019-04-22 00-00-00.000]_[2019-04-23 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_04/Export_2019-04-24 02-09-21.739_[2019-04-23 00-00-00.000]_[2019-04-24 00-00-00.000].csv,61522615,;,processed,1585626,
SCADA/2019_04/Export_2019-04-25 02-09-22.761_[2019-04-24 00-00-00.000]_[2019-04-25 00-00-00.000].csv,66116443,;,processed,1705159,
SCADA/2019_04/Export_2019-04-26 02-09-23.751_[2019-04-25 00-00-00.000]_[2019-04-26 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_04/Export_2019-04-27 02-09-24.695_[2019-04-26 00-00-00.000]_[2019-04-27 00-00-00.000].csv,52223618,;,processed,1342566,
SCADA/2019_04/Export_2019-04-28 02-09-25.701_[2019-04-27 00-00-00.000]_[2019-04-28 00-00-00.000].csv,727391,;,processed,18751,
SCADA/2019_04/Export_2019-04-29 02-09-26.566_[2019-04-28 00-00-00.000]_[2019-04-29 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_04/Export_2019-04-30 02-09-27.572_[2019-04-29 00-00-00.000]_[2019-04-30 00-00-00.000].csv,49877571,;,processed,1283679,
SCADA/2019_05/Export_2019-05-01 02-09-28.469_[2019-04-30 00-00-00.000]_[2019-05-01 00-00-00.000].csv,51661151,;,processed,1329146,
SCADA/2019_05/Export_2019-05-02 02-09-29.663_[2019-05-01 00-00-00.000]_[2019-05-02 00-00-00.000].csv,1184398,;,processed,30387,
SCADA/2019_05/Export_2019-05-03 02-09-30.981_[2019-05-02 00-00-00.000]_[2019-05-03 00-00-00.000].csv,55997448,;,processed,1438538,
SCADA/2019_05/Export_2019-05-04 02-09-32.050_[2019-05-03 00-00-00.000]_[2019-05-04 00-00-00.000].csv,56644248,;,processed,1457976,
SCADA/2019_05/Export_2019-05-05 02-09-33.056_[2019-05-04 00-00-00.000]_[2019-05-05 00-00-00.000].csv,13620900,;,processed,350029,
SCADA/2019_05/Export_2019-05-06 02-09-34.015_[2019-05-05 00-00-00.000]_[2019-05-06 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_05/Export_2019-05-07 02-09-35.037_[2019-05-06 00-00-00.000]_[2019-05-07 00-00-00.000].csv,61120626,;,processed,1574759,
SCADA/2019_05/Export_2019-05-08 02-09-36.058_[2019-05-07 00-00-00.000]_[2019-05-08 00-00-00.000].csv,54315156,;,processed,1396858,
SCADA/2019_05/Export_2019-05-09 02-09-37.299_[2019-05-08 00-00-00.000]_[2019-05-09 00-00-00.000].csv,53330513,;,processed,1371073,
SCADA/2019_05/Export_2019-05-10 02-09-38.430_[2019-05-09 00-00-00.000]_[2019-05-10 00-00-00.000].csv,52906728,;,processed,1359364,
SCADA/2019_05/Export_2019-05-11 02-09-39.483_[2019-05-10 00-00-00.000]_[2019-05-11 00-00-00.000].csv,51999562,;,processed,1336753,
SCADA/2019_05/Export_2019-05-12 02-09-40.489_[2019-05-11 00-00-00.000]_[2019-05-12 00-00-00.000].csv,30345713,;,processed,780275,
SCADA/2019_05/Export_2019-05-13 02-09-41.729_[2019-05-12 00-00-00.000]_[2019-05-13 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_05/Export_2019-05-14 02-09-42.970_[2019-05-13 00-00-00.000]_[2019-05-14 00-00-00.000].csv,54635352,;,processed,1404468,
SCADA/2019_05/Export_2019-05-15 02-09-44.179_[2019-05-14 00-00-00.000]_[2019-05-15 00-00-00.000].csv,51936645,;,processed,1334193,
SCADA/2019_05/Export_2019-05-16 02-09-45.279_[2019-05-15 00-00-00.000]_[2019-05-16 00-00-00.000].csv,53364881,;,processed,1373747,
SCADA/2019_05/Export_2019-05-17 02-09-46.363_[2019-05-16 00-00-00.000]_[2019-05-17 00-00-00.000].csv,55237279,;,processed,1419392,
SCADA/2019_05/Export_2019-05-18 02-09-47.463_[2019-05-17 00-00-00.000]_[2019-05-18 00-00-00.000].csv,52223629,;,processed,1341487,
SCADA/2019_05/Export_2019-05-19 02-09-48.563_[2019-05-18 00-00-00.000]_[2019-05-19 00-00-00.000].csv,25758401,;,processed,661532,
SCADA/2019_05/Export_2019-05-20 02-09-49.741_[2019-05-19 00-00-00.000]_[2019-05-20 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_05/Export_2019-05-21 02-09-50.874_[2019-05-20 00-00-00.000]_[2019-05-21 00-00-00.000].csv,60671471,;,processed,1563038,
SCADA/2019_05/Export_2019-05-22 02-09-51.849_[2019-05-21 00-00-00.000]_[2019-05-22 00-00-00.000].csv,63257198,;,processed,1632629,
SCADA/2019_05/Export_2019-05-23 02-09-52.964_[2019-05-22 00-00-00.000]_[2019-05-23 00-00-00.000].csv,51226043,;,processed,1316077,
SCADA/2019_05/Export_2019-05-24 02-09-54.080_[2019-05-23 00-00-00.000]_[2019-05-24 00-00-00.000].csv,52005076,;,processed,1336447,
SCADA/2019_05/Export_2019-05-25 02-09-55.492_[2019-05-24 00-00-00.000]_[2019-05-25 00-00-00.000].csv,51114934,;,processed,1314125,
SCADA/2019_05/Export_2019-05-26 02-09-56.311_[2019-05-25 00-00-00.000]_[2019-05-26 00-00-00.000].csv,25293009,;,processed,651796,
SCADA/2019_05/Export_2019-05-27 02-09-57.379_[2019-05-26 00-00-00.000]_[2019-05-27 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_05/Export_2019-05-28 02-09-58.323_[2019-05-27 00-00-00.000]_[2019-05-28 00-00-00.000].csv,53522561,;,processed,1375518,
SCADA/2019_05/Export_2019-05-29 02-09-59.501_[2019-05-28 00-00-00.000]_[2019-05-29 00-00-00.000].csv,52153228,;,processed,1340507,
SCADA/2019_05/Export_2019-05-30 02-00-00.589_[2019-05-29 00-00-00.000]_[2019-05-30 00-00-00.000].csv,55745374,;,processed,1433690,
SCADA/2019_05/Export_2019-05-31 02-00-01.798_[2019-05-30 00-00-00.000]_[2019-05-31 00-00-00.000].csv,50109457,;,processed,1287323,
SCADA/2019_06/Export_2019-06-01 02-00-02.836_[2019-05-31 00-00-00.000]_[2019-06-01 00-00-00.000].csv,56395181,;,processed,1449882,
SCADA/2019_06/Export_2019-06-02 02-00-03.842_[2019-06-01 00-00-00.000]_[2019-06-02 00-00-00.000].csv,26860322,;,processed,689789,
SCADA/2019_06/Export_2019-06-03 02-00-04.723_[2019-06-02 00-00-00.000]_[2019-06-03 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_06/Export_2019-06-04 02-00-05.776_[2019-06-03 00-00-00.000]_[2019-06-04 00-00-00.000].csv,46184024,;,processed,1187322,
SCADA/2019_06/Export_2019-06-05 02-00-06.844_[2019-06-04 00-00-00.000]_[2019-06-05 00-00-00.000].csv,57134751,;,processed,1470898,
SCADA/2019_06/Export_2019-06-06 02-00-07.913_[2019-06-05 00-00-00.000]_[2019-06-06 00-00-00.000].csv,55136772,;,processed,1419099,
SCADA/2019_06/Export_2019-06-07 02-00-08.903_[2019-06-06 00-00-00.000]_[2019-06-07 00-00-00.000].csv,56304299,;,processed,1452343,
SCADA/2019_06/Export_2019-06-08 02-00-10.066_[2019-06-07 00-00-00.000]_[2019-06-08 00-00-00.000].csv,63731233,;,processed,1644401,
SCADA/2019_06/Export_2019-06-09 02-00-10.978_[2019-06-08 00-00-00.000]_[2019-06-09 00-00-00.000].csv,31236211,;,processed,805765,
SCADA/2019_06/Export_2019-06-10 02-00-12.125_[2019-06-09 00-00-00.000]_[2019-06-10 00-00-00.000].csv,25,;,header_only,0,
